Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
478a4846-0ae6-4ec8-8155-019708911526,1978-06-24,,999-85-4926,S99982373,X87966305X,Mrs.,Mariana775,Hane680,,Williamson769,M,white,nonhispanic,F,Yarmouth  Massachusetts  US,999 Kuhn Forge,Lowell,Massachusetts,Middlesex County,01851,42.63614335069588,-71.3432549217789,965334.27,7223.859999999999
58cac9ec-4baa-46c1-b919-0ed13572b51d,1970-06-13,2016-05-07,999-90-2484,S99989337,X48630763X,Ms.,Isabel214,Carvajal694,,,S,white,hispanic,F,Santiago  Santiago Province  CL,335 Morar Highlands Apt 75,Fall River,Massachusetts,Bristol County,02720,41.68768444527544,-71.0557687821624,1145378.45,4941.2
f73d6f41-0091-4485-8b43-9d38eb98fb36,1989-07-05,,999-24-1237,S99910262,X45422667X,Mrs.,Leann224,Deckow585,,Jaskolski867,M,white,nonhispanic,F,Fall River  Massachusetts  US,118 Bailey Orchard Suite 34,Needham,Massachusetts,Norfolk County,,42.320747443630474,-71.23282934575425,747131.76,5546.999999999999
df6b563d-1ff4-4833-9af8-84431e641e9c,1982-09-29,,999-21-5604,S99921528,X87641071X,Ms.,Christal240,Brown30,,,S,white,nonhispanic,F,Bellingham  Massachusetts  US,1060 Hansen Overpass Suite 86,Boston,Massachusetts,Suffolk County,02118,42.284598473357775,-71.13449674876126,818841.61,11339.259999999998
f39d31c4-9ba8-4468-9f48-065a8dc13e0f,1983-09-30,,999-57-9112,S99937871,X59867376X,Mrs.,Lisbeth69,Rowe323,,Durgan499,M,white,nonhispanic,F,Agawam  Massachusetts  US,290 Hyatt Lane,Malden,Massachusetts,Middlesex County,02155,42.41495500202392,-71.0670663224216,792765.79,7389.239999999999
ff7b040b-aa96-4003-8926-3dac8ca8eb05,2000-12-19,,999-28-2716,S99985509,,Ms.,Carmelia328,Konopelski743,,,,white,nonhispanic,F,Lee  Massachusetts  US,1025 Collier Arcade,Ashland,Massachusetts,Middlesex County,,42.2919859634347,-71.4637238426449,439502.18,72357.13000000014
3e7c92d1-3c0d-485d-8289-154750bd5770,1957-03-25,,999-66-4231,S99961255,X32357683X,Mrs.,Raye931,Wyman904,,Wunsch504,M,white,nonhispanic,F,Arlington  Massachusetts  US,585 Greenfelder Camp,Quincy,Massachusetts,Norfolk County,02169,42.266511451175816,-70.95648012153919,1432771.84,7271.799999999999
007228b1-99a1-4865-b790-785cec20bd84,1958-07-29,,999-76-2715,S99916782,X17277881X,Ms.,Amada498,Spinka232,,,S,white,nonhispanic,F,Watertown  Massachusetts  US,970 Grant Highlands,Foxborough,Massachusetts,Norfolk County,,42.07894173393037,-71.22544168501237,1323178.3,9671.599999999999
1610c8a8-9db2-42f1-84d4-a9c49204e644,1999-03-03,,999-85-6755,S99938879,X83707353X,Ms.,Cythia210,Reichel38,,,,white,nonhispanic,F,Hopkinton  Massachusetts  US,211 Effertz Quay,Peabody,Massachusetts,Essex County,01960,42.55928953967607,-70.93169658886427,424212.7,4002.9599999999996
0bccccae-0961-4ee0-896a-d80729b22e6c,1970-06-13,,999-38-7030,S99955092,X33628450X,Mrs.,Yolanda648,Gollum504,,Reyes140,M,white,hispanic,F,Portsmouth  Saint John Parish  DM,540 Gibson Green,Fall River,Massachusetts,Bristol County,,41.6642703334667,-70.96815656387318,974691.53,11915.599999999999
034d0449-81a4-498c-88f6-74822b92c7ce,2017-03-23,,999-40-3169,,,,María Soledad68,Aparicio848,,,,white,hispanic,F,San Jose  San Jose  CR,547 Ziemann Burg,Boston,Massachusetts,Suffolk County,02215,42.43109777176137,-71.00157229853994,10380.86,2112.3599999999997
da0334da-83d5-443c-9f80-185654a0c534,1959-06-23,,999-59-1261,S99928544,X30032284X,Mrs.,Anissa357,Mueller846,,Ebert178,M,white,nonhispanic,F,Pembroke  Massachusetts  US,661 Schulist Highlands,Waltham,Massachusetts,Middlesex County,02452,42.42591517440363,-71.28867283165437,1533497.0,7207.719999999999
b837f045-b9b5-486a-ad32-94b9f519737f,1958-05-09,,999-49-5916,S99935194,X2603260X,Mrs.,Danae973,Franecki195,,Gleichner915,M,white,nonhispanic,F,Holyoke  Massachusetts  US,1062 Conn Well Suite 4,Framingham,Massachusetts,Middlesex County,01702,42.30967844045964,-71.42307309211299,1416219.08,18465.109999999997
2a6c0184-35a7-424f-96ce-0c977fa667f5,1986-02-25,,999-89-1141,S99986137,X43325867X,Mrs.,Margurite588,Bernhard322,,Fahey393,M,native,nonhispanic,F,Lynn  Massachusetts  US,471 Mayert Flat Unit 54,Peabody,Massachusetts,Essex County,,42.53946384035592,-70.93353942981541,913475.2000000001,4161.36
76b3f20a-a5ba-4287-a43b-1262e133d882,1983-10-10,,999-45-5448,S99951460,X62276990X,Mrs.,Frankie174,Bernier607,,Brown30,M,white,nonhispanic,F,Somerville  Massachusetts  US,687 Howell Frontage road Apt 68,Abington,Massachusetts,Plymouth County,02351,42.07952522604181,-70.97370970346904,798187.32,4916.999999999999
0a6c6f5a-797e-42f4-8693-13c8f13cbfab,1954-05-02,,999-88-9161,S99952034,X43989593X,Mr.,Edmund685,Walker122,,,M,white,nonhispanic,M,Dedham  Massachusetts  US,383 Crooks Camp,Norwell,Massachusetts,Plymouth County,,42.1922447262567,-70.83915436161415,1731218.3800000001,5027.12
b4d135ad-4f02-4bfe-a5a3-41ab695c6f66,1971-01-19,,999-95-4888,S99959100,X29871777X,Ms.,Margert370,DuBuque211,,,S,white,nonhispanic,F,Billerica  Massachusetts  US,560 Herman Bridge,Malden,Massachusetts,Middlesex County,,42.44244784588782,-71.06719902923557,164858.0,36869.189999999995
33b1ecad-c4cf-46ca-a825-e8bedec0cbff,1993-04-06,,999-21-6421,S99974558,X65803237X,Mrs.,Luciana251,Williamson769,,Adams676,M,asian,nonhispanic,F,Beijing  Beijing Municipality  CN,703 Stehr Walk,Chelmsford,Massachusetts,Middlesex County,,42.61896977578778,-71.36031919442007,688020.82,4067.1599999999994
55c70d2a-03ad-4f4d-8599-c967121434f1,2005-12-28,,999-75-9476,,,,Victor265,Dickinson688,,,,asian,nonhispanic,M,Waltham  Massachusetts  US,765 Harber Club,Winchester,Massachusetts,Middlesex County,01890,42.47282661748736,-71.11767065045873,332071.38,5396.239999999999
5b61f0fa-a3c4-4e70-a322-ad85c47aca12,1987-08-31,,999-47-3790,S99987128,X31069450X,Mr.,Erwin847,Weimann465,,,M,white,hispanic,M,Quincy  Massachusetts  US,297 Fritsch Estate Apt 24,Lynnfield,Massachusetts,Essex County,,42.570671540821,-71.04404349781522,678188.97,4118.76
8bf20e2d-103e-4d48-8e16-82fb37ef6b5c,1967-04-23,,999-30-3779,S99929765,X52746820X,Mrs.,Kim439,Donnelly343,,Ruecker817,M,white,nonhispanic,F,Billerica  Massachusetts  US,562 Windler Tunnel,Fitchburg,Massachusetts,Worcester County,,42.61144194796878,-71.7727461157454,1154088.59,10203.999999999998
854f2a52-9d7d-416d-8308-7fb34a8e9e72,1967-07-12,,999-95-2422,S99922379,X74979136X,Ms.,Ashton21,Goldner995,,,S,white,nonhispanic,F,Dighton  Massachusetts  US,257 Jerde Rue,Quincy,Massachusetts,Norfolk County,02170,42.31096749809112,-71.02359767170348,1104520.8,6569.319999999999
f1a653f5-23ca-43c6-83b6-62e14b724846,1973-08-01,,999-85-9257,S99981102,X48855355X,Mr.,Louie190,Jacobi462,,,M,white,nonhispanic,M,Lynn  Massachusetts  US,255 Ondricka Common,Deerfield,Massachusetts,Franklin County,,42.574668213480976,-72.56258294874279,1076550.23,7874.159999999999
8f9539f2-e6ad-4e00-ad45-4abc2bff2214,1965-11-11,,999-85-8713,S99975142,X43892012X,Mrs.,Marvel321,Wyman904,,Wyman904,M,white,nonhispanic,F,Wilbraham  Massachusetts  US,913 Schiller Well Apt 80,Burlington,Massachusetts,Middlesex County,01803,42.48474039864766,-71.23413740070445,1121280.6,7715.969999999999
bb0609fd-42d4-4e2f-b2f2-1efffd299977,1994-06-28,,999-33-5858,S99973245,X34190522X,Ms.,Christene303,Brakus656,,,,white,nonhispanic,F,Boston  Massachusetts  US,229 Feest Landing Unit 4,Plymouth,Massachusetts,Plymouth County,02360,41.92243181741361,-70.61431605934945,595525.8099999999,3620.52
4088279b-94cc-42f7-8cab-8ce880997553,1967-07-12,,999-15-5162,S99965704,X33957632X,Mr.,Wesley533,Rau926,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,788 Wilderman Vale,New Bedford,Massachusetts,Bristol County,,41.651828069867825,-70.98799740134385,1284480.4000000001,6621.08
d5dd13c4-c31e-419c-8c02-47e4ca1ac5e2,2018-08-16,,999-65-5107,,,,Dorothea248,Ward668,,,,white,nonhispanic,F,New Bedford  Massachusetts  US,1079 Kuhn Orchard,Lowell,Massachusetts,Middlesex County,01854,42.6627289084441,-71.36456412317567,39825.0,1195.7599999999998
fcdb5a33-d5eb-4a65-b1a1-05b8ff69783a,2013-07-30,,999-82-6451,,,,Lorrie905,Leannon79,,,,white,nonhispanic,F,Winthrop  Massachusetts  US,813 Casper Street,Peabody,Massachusetts,Essex County,01940,42.495161618943285,-71.00717490673976,156848.18,2469.8399999999997
c1751563-21b8-4c7a-88d3-c41f55f12103,1986-09-20,,999-39-5390,S99940973,X25570027X,Mrs.,Mabel261,Dach178,,Larkin917,M,white,nonhispanic,F,Granby  Massachusetts  US,844 Hammes Byway,Framingham,Massachusetts,Middlesex County,01702,42.34587561056077,-71.42562595250615,621113.51,7492.519999999999
9a991e45-bb2e-4eae-b835-e97f28798b7c,2002-01-24,,999-83-2956,S99962510,,Ms.,Joleen561,Quitzon246,,,,white,nonhispanic,F,Woburn  Massachusetts  US,976 Bode Parade Apt 52,Greenfield,Massachusetts,Franklin County,,42.64255382613245,-72.63605724383343,448371.17,7583.48
91369e11-b944-4132-be0f-af46e880936b,1972-09-22,,999-58-9266,S99951549,X57129955X,Mr.,Cesar434,Klein929,,,M,white,nonhispanic,M,Danvers  Massachusetts  US,907 Ernser Parade Unit 37,Amherst,Massachusetts,Hampshire County,,42.335578138088835,-72.47082974843092,1266915.05,3148.08
820d4ac8-c108-43a3-966b-0a655620713d,1979-06-13,,999-19-9482,S99923892,X76691515X,Mr.,Carlton317,Breitenberg711,JD,,M,white,nonhispanic,M,Cambridge  Massachusetts  US,789 Torphy Trafficway Suite 59,Medfield,Massachusetts,Norfolk County,,42.2191672093114,-71.28898585091105,1093151.02,4403.84
c70992c9-ff13-467b-9032-1901506edeef,1959-06-17,2020-03-11,999-59-5266,S99980358,X6040407X,Mr.,Emerson869,Hagenes547,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,436 Mills Wynd Apt 14,Saugus,Massachusetts,Essex County,,42.47167808525483,-71.00450072850994,1259694.82,5741.04
2d874b8e-8d49-43fe-8302-f3618ac74936,1968-09-12,,999-88-9678,S99949484,X7011478X,Mr.,Carol737,Harber290,,,S,white,nonhispanic,M,Rochester  Massachusetts  US,119 Steuber Key,Salisbury,Massachusetts,Essex County,,42.79707250664195,-70.84154726099447,1122869.83,4448.32
9ec7d743-96e7-47c8-b2ee-6336633beb39,1969-03-22,,999-12-7459,S99953931,X68702974X,Mr.,Stanford577,Goodwin327,,,M,white,nonhispanic,M,Arlington  Massachusetts  US,314 Torp Byway,Somerville,Massachusetts,Middlesex County,02140,42.4408651910576,-71.08638784903249,1298059.67,6003.639999999999
3baa855f-7b45-43b7-841a-b1cd5df94672,2012-05-26,,999-69-6192,,,,Richie600,Goyette777,,,,white,nonhispanic,M,Lawrence  Massachusetts  US,369 Friesen Manor Suite 94,Framingham,Massachusetts,Middlesex County,,42.35335707729068,-71.43702345618095,202345.1,2403.2
bebeadaa-3237-49a6-89b5-ec687ad2ea0e,1982-06-19,,999-95-2021,S99923556,X35823373X,Mr.,Ira784,Stark857,,,M,white,nonhispanic,M,Framingham  Massachusetts  US,1040 Morar Approach,Weymouth,Massachusetts,Norfolk County,02189,42.21778590547319,-70.90836801088793,781496.94,2759.68
afa7ef78-5396-4e32-9208-7aa7b1bf4b8e,2007-06-18,,999-36-9345,,,,Timmy68,Macejkovic424,,,,white,nonhispanic,M,Chicopee  Massachusetts  US,385 Sipes Orchard Apt 71,Brockton,Massachusetts,Plymouth County,02301,42.13957669646028,-70.93239519960153,314506.9,3033.16
dfc908b9-ca94-417c-8235-2e357380910e,1981-09-18,,999-39-3928,S99986161,X58632558X,Mr.,Benedict104,Emard19,MD,,M,white,nonhispanic,M,Leominster  Massachusetts  US,837 Mills Dam,Somerville,Massachusetts,Middlesex County,02140,42.36194912885326,-71.1344490746044,794911.52,3152.96
a527bcf0-3746-476c-90f2-dbab8868385e,1978-11-27,,999-90-6743,S99931371,X15345583X,Mrs.,Margarita164,Beahan375,,Crooks415,M,white,nonhispanic,F,Barnstable  Massachusetts  US,135 Runolfsdottir Orchard Suite 11,Norton,Massachusetts,Bristol County,,41.925767956827,-71.15034496284127,912431.48,9377.149999999998
f272974b-7707-4780-a6b9-f11393a4173e,1998-01-11,,999-23-1726,S99920296,X86946959X,Mr.,Reid278,Von197,,,,white,nonhispanic,M,Medford  Massachusetts  US,546 Kuhlman Mission,Lynn,Massachusetts,Essex County,01940,42.43797423511169,-71.03524571780106,571621.47,3909.6899999999996
fe252ca4-0448-4547-beac-689839fc1700,1976-03-20,,999-92-8481,S99925707,X2988231X,Mr.,Ernie189,Stamm704,,,S,white,nonhispanic,M,Boston  Massachusetts  US,341 Langosh Meadow Unit 31,Boston,Massachusetts,Suffolk County,02122,42.320522995674295,-71.19988506697061,907695.21,3036.3199999999997
19c26213-a2a2-4cff-a1aa-0137b92df1e4,2015-07-18,,999-85-6809,,,,Chung121,Heller342,,,,white,nonhispanic,M,Pittsfield  Massachusetts  US,618 Harber Annex,Southborough,Massachusetts,Worcester County,,42.26452554290187,-71.53620185991065,124216.31,2024.8799999999999
30052b62-200e-48c9-b671-aa3ede1fef1c,1955-05-03,,999-33-9259,S99919585,X20291411X,Ms.,Maisha241,Fisher429,,,S,white,nonhispanic,F,Granville  Massachusetts  US,873 Hodkiewicz Dam Unit 1,Bridgewater,Massachusetts,Plymouth County,,41.993499152800545,-70.9724481196625,1349203.71,10783.299999999997
9fe4a306-af13-41d6-9936-cc2727aff831,2009-06-04,,999-19-6600,,,,Eveline832,Wintheiser220,,,,black,hispanic,F,Sandwich  Massachusetts  US,895 MacGyver Skyway,Chicopee,Massachusetts,Hampden County,01020,42.183454801016715,-72.50164711151022,25964.55,645.8
564fb8af-2ede-4c51-a6f9-cbc32e36ae4d,2020-03-12,,999-72-2409,,,,Leslee214,Schumm995,,,,white,nonhispanic,F,Springfield  Massachusetts  US,756 Donnelly Mews,Boston,Massachusetts,Suffolk County,02122,42.28780014495863,-71.12414198478807,6360.0,327.48
0f319739-cdfb-4e9c-9703-325c5065d374,1959-06-17,,999-56-6368,S99995089,X65753359X,Mr.,Mel236,Morar593,,,M,white,nonhispanic,M,Belmont  Massachusetts  US,1009 Fisher Rest Suite 26,Saugus,Massachusetts,Essex County,,42.4747467179542,-71.04560510473262,1542715.81,5976.16
fe74a8af-bb02-4ee8-89e2-14bb30a0bb41,1995-10-02,,999-26-2678,S99978757,X80600534X,Mr.,Cristobal567,Parra592,,,,white,hispanic,M,Puebla  Puebla  MX,356 Parisian Mill Apt 14,Beverly,Massachusetts,Essex County,,42.57934343407418,-70.81856210134465,577296.8,7783.399999999999
02909b24-92b2-40cf-b1dd-1d58fbf6683b,2008-07-21,,999-49-6430,,,,Marjory382,Friesen796,,,,white,nonhispanic,F,Winchester  Massachusetts  US,177 Schimmel Spur,Lowell,Massachusetts,Middlesex County,01854,42.59943732914915,-71.32938388416616,245125.2,2779.8399999999997
4a53d8e3-6ce9-414d-9b96-1d44427ad595,1959-04-01,,999-49-8312,S99941236,X86271679X,Mrs.,Evia329,Heller342,,Strosin214,M,white,nonhispanic,F,Stoneham  Massachusetts  US,824 Harris Rue Apt 75,Westfield,Massachusetts,Hampden County,01085,42.195649799149905,-72.75058240922496,198792.27,25110.07
7f4ef129-1511-47a9-a9b7-8b0b2d02ad50,1952-05-06,,999-56-8675,S99923437,X85058581X,Mrs.,Sabina296,Flatley871,,Schmidt332,M,white,nonhispanic,F,Norwell  Massachusetts  US,502 Jakubowski Burg,Springfield,Massachusetts,Hampden County,,42.12911097701997,-72.6128205943982,1466791.2,11851.949999999999
cad87ce8-51e1-4214-aae6-e928eb14466c,1992-06-19,,999-45-6436,S99962246,X77637753X,Mrs.,Bernice532,Paucek755,,Lemke654,M,white,nonhispanic,F,Natick  Massachusetts  US,145 Schultz Dam,Wilmington,Massachusetts,Middlesex County,,42.60200906032098,-71.2039854906112,659999.21,10303.079999999998
cd7cdbef-ef08-48da-9302-19bf4b2dffa3,1940-05-03,2010-04-20,999-30-7132,S99937049,X73545664X,Mrs.,Tia76,Spinka232,,Crona259,M,white,nonhispanic,F,Hopedale  Massachusetts  US,537 Steuber Heights Unit 8,Middleborough,Massachusetts,Plymouth County,,41.855251684893965,-70.84734095146098,1323153.96,24456.48999999999
7078ae9a-4c79-4b30-b127-f76aabb6763e,1968-04-26,,999-64-4625,S99988401,X57362661X,Mrs.,Caterina17,Hirthe744,,Mann644,M,white,hispanic,F,Boston  Massachusetts  US,260 Kutch Walk,Fitchburg,Massachusetts,Worcester County,,42.63151510406731,-71.8392184983341,1028032.73,15120.219999999998
8e558a6a-c25f-4c78-a615-457d5f09506b,1990-07-13,,999-27-7560,S99962986,X75038707X,Ms.,Caroll955,Jacobi462,,,S,white,nonhispanic,F,Ipswich  Massachusetts  US,234 Schultz Gate,Webster,Massachusetts,Worcester County,01570,42.00295823344613,-71.84481131607329,668174.01,5317.07
46de6788-690e-41a2-9165-dba9e0edda5f,2006-06-21,,999-86-2605,,,,Lesley194,Lynch190,,,,white,nonhispanic,M,Easthampton  Massachusetts  US,691 Dickens Bay,Saugus,Massachusetts,Essex County,,42.48337740696865,-70.99455659038709,21130.2,516.64
145924d4-1ea6-4b74-ae12-0447184ab7fe,2018-03-06,,999-47-5686,,,,Humberto482,Mann644,,,,white,nonhispanic,M,Merrimac  Massachusetts  US,217 Mueller Vista Apt 97,Quincy,Massachusetts,Norfolk County,02171,42.25861206681914,-71.12935311786183,50568.66,1270.76
d48f2976-fe6e-490a-a642-1f974e344d32,1969-07-03,,999-88-2579,S99921855,X59127954X,Mr.,Ben667,Funk324,,,S,white,nonhispanic,M,Amherst  Massachusetts  US,697 Mante Dam,Wareham,Massachusetts,Plymouth County,,41.747125184166435,-70.72477378399911,15554.72,0.0
5fcddb28-7b9d-472a-8765-29d559e3d2f8,1958-05-25,,999-31-7122,S99947600,X85365205X,Mr.,Kevin729,Adams676,,,M,white,nonhispanic,M,Boston  Massachusetts  US,453 Fadel Ferry,Revere,Massachusetts,Suffolk County,,42.46768629983254,-70.9616747060457,18753.689999999995,0.0
ac530537-ea40-44e1-932e-655f9d9eb8f2,1976-10-07,,999-23-1789,S99911833,X83589112X,Mr.,Shirley182,Borer986,,,M,white,nonhispanic,M,Springfield  Massachusetts  US,513 O'Keefe Rue Unit 83,Dedham,Massachusetts,Norfolk County,02090,42.23208487834696,-71.1353902728103,1158420.63,2944.7599999999998
7d009685-4357-485c-9164-1a27681f14dc,1954-08-25,,999-15-6463,S99994295,X40542660X,Mrs.,Laverna97,Dooley940,,Mayert710,M,white,nonhispanic,F,Brockton  Massachusetts  US,261 Weber Crossing,Rochester,Massachusetts,Plymouth County,,41.783430936595146,-70.82655138321977,1516415.9,9607.439999999999
bc668670-c85e-48f9-a4fd-0ee6b13e878d,2003-09-05,,999-32-9052,S99911864,,,Kermit56,Barton704,,,,white,nonhispanic,M,Rockport  Massachusetts  US,331 Sipes Quay Suite 27,Beverly,Massachusetts,Essex County,,42.59339079463152,-70.86862257280947,363104.79,2987.2799999999997
a5c39700-6bf3-4984-af46-31344695e21b,1940-01-09,2020-03-15,999-49-7659,S99985960,X58311625X,Mr.,Sammie902,Greenholt190,,,M,white,nonhispanic,M,Chelsea  Massachusetts  US,807 Bauch Viaduct Suite 72,Plymouth,Massachusetts,Plymouth County,02360,41.92896361976894,-70.66540215208727,1639365.4700000002,22137.88
5fbe3d87-3b6b-4549-8615-bd175d5d6bbb,1941-04-22,,999-33-7429,S99973353,X73839384X,Mr.,Jamey282,Hermiston71,,,M,asian,nonhispanic,M,New Bedford  Massachusetts  US,780 Okuneva Annex Apt 36,Concord,Massachusetts,Middlesex County,,42.4937745084856,-71.4128121495033,1784689.27,14067.24
ddb2d5e2-643e-4374-ac19-f6ca3c0d16f5,1967-12-24,,999-60-5555,S99986948,X7533832X,Mr.,Phil587,Doyle959,,,M,white,nonhispanic,M,Swansea  Massachusetts  US,616 Bartell Throughway,Bourne,Massachusetts,Barnstable County,,41.7201610470063,-70.63966017449452,1277041.08,7069.36
81643c1d-b2e3-45f1-8622-71ad10305b8d,1974-02-14,,999-22-4097,S99989184,X35137774X,Mrs.,Hermila490,Lakin515,,Kerluke267,M,white,nonhispanic,F,Marshfield  Massachusetts  US,507 Haley Orchard,Gardner,Massachusetts,Worcester County,,42.554618274961825,-72.00638993092305,987102.48,17932.049999999992
21505aac-f219-43a8-ab3c-f57c6d8f1d1f,1940-05-03,,999-76-2610,S99976502,X50484602X,Mrs.,Alane21,Toy286,,Larson43,M,white,nonhispanic,F,Quincy  Massachusetts  US,152 Stracke Pathway Apt 86,Middleborough,Massachusetts,Plymouth County,,41.856827431688636,-70.87005170669599,1607359.34,25271.829999999998
4365ba17-4f02-49fc-9d71-a7535f19e7fa,1974-08-27,,999-19-1540,S99967159,X38529208X,Mr.,Dannie881,Smitham825,,,M,white,nonhispanic,M,Andover  Massachusetts  US,1045 Paucek Burg Apt 27,Plymouth,Massachusetts,Plymouth County,,41.8843197535694,-70.59739268620405,997451.76,5975.049999999998
8049d282-cb78-4a77-8163-1083ca0a3a09,1983-07-04,,999-85-5168,S99943248,X2960808X,Mrs.,Christeen33,Schmeler639,,Orn563,M,white,nonhispanic,F,Falmouth  Massachusetts  US,677 Hettinger Passage,Winchendon,Massachusetts,Worcester County,,42.65719576318533,-72.056114367437,825343.93,8780.88
9ca47cee-bc6c-4ae8-a9fa-27ba2a94888d,1969-03-26,,999-44-6609,S99985596,X31228159X,Mr.,Ted955,Howell947,,,M,white,nonhispanic,M,Boston  Massachusetts  US,182 Donnelly Parade,Easton,Massachusetts,Bristol County,,42.04152324054513,-71.14408124821426,1356140.67,3480.56
419c213d-8d35-440c-bf47-a536f95df517,1964-09-06,1999-08-29,999-87-7767,S99989705,X87823143X,Mr.,Micheal721,Lang846,,,M,white,nonhispanic,M,Arlington  Massachusetts  US,1065 Wisozk Route Unit 21,Boston,Massachusetts,Suffolk County,02115,42.269926482993284,-71.06440858873741,109997.63,5883.299999999999
7992bf94-feee-4728-9187-2c911df2819b,2004-07-04,,999-67-4045,,,,Gidget756,Rempel203,,,,white,nonhispanic,F,Leominster  Massachusetts  US,978 Turcotte Overpass,Gill,Massachusetts,Franklin County,,42.63299146919133,-72.5251235198123,404742.42,3311.4399999999996
7ea83894-5507-48ff-86ae-f246840067f1,1984-07-22,,999-82-1441,S99965323,X2059514X,Ms.,Elvira561,Cabrera242,,,S,white,hispanic,F,Santiago de los Caballeros  Santiago  DO,451 Buckridge Harbor,Attleboro,Massachusetts,Bristol County,,41.845865844690664,-71.3317871538724,816217.15,9619.88
075095e6-c821-436e-92e3-9e5323ed81e5,1946-09-09,2009-04-03,999-63-7990,S99972029,X16080559X,Mr.,Kermit56,Rutherford999,,,M,white,nonhispanic,M,Stow  Massachusetts  US,489 Nienow Rue,Fall River,Massachusetts,Bristol County,02790,41.653135767742114,-71.0043680629964,1662009.03,4021.3199999999997
d2f6d528-39db-4b7e-8389-abd27af9a710,1996-06-26,,999-71-6658,S99919362,X38676934X,Ms.,Deidra675,Gleason633,,,,white,nonhispanic,F,Beverly  Massachusetts  US,949 Harvey Row Suite 34,Weymouth,Massachusetts,Norfolk County,02191,42.19881332914573,-70.98939359831729,10528.25,405.79999999999995
